============================
on the qwerty layout
0.81 : gaskets baskets
0.83 : choppinesses dopinesses
1.0 : stagiest staggiest
0.85 : malting halting
1.0 : readds reads
1.0 : topography typography
0.85 : fluorite fluorid
1.0 : stoppled stippled
1.0 : stopples stipples
0.81 : goiters touters
1.0 : mouflon moufflon
1.0 : fit goy
0.81 : fit wye
0.81 : fit wyte
0.81 : fit toy
0.83 : fix god
1.0 : dattos datos
0.81 : fib toom
0.81 : fib tom
0.81 : fib rib
0.81 : fig rig
0.85 : fid fie
0.85 : fid gor
0.85 : fid fire
0.81 : fid rid
1.0 : fie gor
0.81 : fie rite
0.81 : fie tour
0.81 : fie tor
1.0 : fie fire
0.81 : fin ruin
0.81 : fin rin
1.0 : makable maskable
1.0 : selfs sels
0.87 : selfs drupe
0.87 : selfs serow
1.0 : feldspar felspar
1.0 : looted looed
1.0 : enthrall enthral
1.0 : enthrals enthralls
1.0 : tranship transship
1.0 : lots louts
0.81 : irk otto
0.81 : irk gag
1.0 : irk gab
0.81 : irk tab
1.0 : fruits frits
1.0 : escalloping escaloping
1.0 : fro dei
1.0 : fry kip
0.81 : whamming shamming
0.9 : spit wept
1.0 : spit spot
1.0 : kohl draff
1.0 : endue endure
1.0 : haj hajj
1.0 : haj hadj
0.85 : haj keto
0.85 : ham hash
0.85 : ham yam
0.85 : ham hah
0.85 : had keet
0.85 : had mad
0.85 : hag mag
1.0 : hag potto
0.81 : hag hat
0.85 : hay hash
0.85 : hay yay
0.85 : hay may
0.85 : hay hah
1.0 : has putty
0.85 : has mass
0.85 : has mas
1.0 : has pity
1.0 : has potty
1.0 : has ort
0.85 : haw oft
0.85 : haw yaw
0.85 : haw use
0.85 : haw maw
0.83 : cogs dogs
1.0 : gallivants galivants
0.85 : mackle hackle
1.0 : starring staring
1.0 : starring starting
1.0 : marshall marshal
1.0 : marshals marshalls
1.0 : spurting sporing
1.0 : spurting spirting
1.0 : spurting sporting
1.0 : spurting spring
1.0 : spurting spiring
1.0 : spurting spurring
0.83 : dowsed chowsed
1.0 : eyres eyes
1.0 : morning mourning
1.0 : sandaled sandalled
1.0 : saltie saltire
0.8 : foyers voters
0.85 : foyers rioters
0.85 : foyers rooters
0.83 : corps dorps
1.0 : puttered pottered
1.0 : putterer potterer
1.0 : baller baler
0.81 : balled galled
1.0 : balled baled
0.83 : cockers dockers
0.81 : gloomy bloomy
0.81 : glooms blooms
0.85 : pelf khans
0.87 : pelf pretor
1.0 : chopping cooping
0.83 : chopping doping
1.0 : chopping coping
1.0 : chopping copping
0.81 : bagging gagging
1.0 : bagging badging
0.81 : bagging gaging
0.81 : garring barring
0.81 : garring tarring
0.81 : garring taring
0.81 : garring baring
0.81 : garring tarting
0.85 : fakers requirers
1.0 : fakers fakeers
0.85 : fakers requiters
0.85 : unlash unlay
1.0 : pints points
1.0 : vigour vigor
1.0 : sculped sculpted
0.81 : etude dude
1.0 : byte byre
1.0 : byte bye
1.0 : byte nit
0.89 : wrong song
0.8 : tableaux tableaus
0.85 : mayed hayed
1.0 : agger ager
1.0 : potmen pitmen
1.0 : lacquering lacqueying
1.0 : arbours arbors
0.81 : bannets gannets
0.81 : fir tout
1.0 : fir got
0.81 : fir toot
0.81 : fir toit
1.0 : fir gout
0.81 : fir aga
1.0 : fir dure
0.81 : fir dud
1.0 : fir due
0.81 : fir tot
0.81 : toadyish toadyism
0.81 : otto jeu
0.81 : otto gat
1.0 : otto gag
0.81 : otto gab
0.81 : otto bag
0.81 : otto tag
0.89 : aitch quitch
1.0 : teepee tepee
0.83 : comes domes
1.0 : vims bond
0.85 : whacking smacking
1.0 : curveted curvetted
1.0 : overtasking overtaking
1.0 : arrow stipe
1.0 : arrow stope
1.0 : arrow stupe
1.0 : ryots rots
1.0 : ryots riots
1.0 : ryots roots
1.0 : ryots routs
1.0 : chomped compted
1.0 : chomped comped
1.0 : dirty suet
0.81 : yogh ruer
0.9 : oaths laths
0.89 : feria grow
0.81 : gonging tonging
0.87 : leis prod
0.85 : hash mash
1.0 : hash hah
0.85 : hash yah
0.85 : hast mast
0.8 : periodic periodid
1.0 : mort bier
1.0 : mort biter
1.0 : morn mourn
1.0 : mora moira
0.81 : glowers blowers
1.0 : more moue
1.0 : more mote
0.87 : more mod
0.87 : more bis
1.0 : grope gripe
1.0 : pirana purana
0.83 : courser dorser
1.0 : courses corses
1.0 : scoops scops
0.85 : masted hasted
1.0 : fruit frit
1.0 : fruit zags
1.0 : odors odours
0.83 : coff doff
0.87 : singlet winglet
1.0 : speer spier
0.9 : speer wiper
1.0 : subtotalled subtotaled
0.81 : shipworm whipworm
0.83 : dozes cozes
1.0 : pertest pretest
1.0 : spinnery spinney
1.0 : eery weet
1.0 : cupper cuppier
0.81 : tasting gasting
0.81 : gases basses
0.81 : gases bases
0.81 : gases tasses
1.0 : gases gasses
0.89 : bios mope
1.0 : kasha petite
1.0 : fluoroscopies fluoroscopes
0.81 : toggle goggle
0.81 : glows blows
1.0 : tempter temper
1.0 : diallings dialings
0.85 : makes hakes
1.0 : maker masker
0.81 : rive five
0.85 : foamers roamers
0.87 : japes napes
1.0 : benefitting benefiting
1.0 : leadless leakless
1.0 : leadless leafless
1.0 : yegg pull
0.8 : vocalized focalized
1.0 : acerose acetose
0.81 : gallons talons
0.81 : gallons ballons
1.0 : subtotaling subtotalling
0.81 : gays bays
0.87 : sienites wienies
1.0 : vrouws vrows
0.81 : whammies shammies
1.0 : overrate overate
1.0 : piranas puranas
1.0 : trying truing
0.81 : tape gape
1.0 : wring wing
0.87 : wring sing
0.85 : ire id
0.85 : ire ma
0.85 : ire of
1.0 : ire or
0.85 : ire us
1.0 : ire put
1.0 : ire our
1.0 : ire ha
1.0 : ire pit
1.0 : ire pot
0.85 : ire ya
